Machine Code,Value
0402,402
0404,402
0603,CP
603,CP
0606,CP
612,CP
0805,CP
1206,CP
1210,CP
1212,CP
1311,CP
1411,CP
1808,CPEXP
1812,CPEXP
1825,CPEXP
2010,CP
2220,CPEXP
2312,CP
2512,CP
2818,IP
2917,IP
3216,CP
3528,CP
3825,CP
7343,IP
160808,CP
100TQFP,IP
10msop,CPEXP
10VSSOP,CPEXP
10-VSSOP,CPEXP
14HTSSOP,IP
14SO,IP
14-SOIC,IP
14TSSOP,IP
16SOIC,IP
16-SOIC,IP
16TSSOP,IP
20SOIC,IP
20-soic,IP
20-SOIC,IP
20TSSOP,IP
24SOIC,IP
24SSOP,IP
24TSSOP,IP
28-SSOP,IP
2X1SON,402
3528-21,CP
4SOP,CPEXP
4-sop,CPEXP
5SOT,CP
6-SOT26,CP
6TSOP,CP
6TSSOP,CP
7343-31,IP
7351 Metric,IP
8DSOP,CPEXP
8MSOP,CPEXP
8-SMD,IP
8SO,CPEXP
8SOIC,CPEXP
8-SOIC,CPEXP
8TSSOP,IP
8VSSOP,CPEXP
8WSON,402
Aluminum Electrolytic Capacitors,IP
axial,TH
AXIAL,TH
Cap Alum,IP
CAPACITOR ELECT,IP
Capacitor Electrolytic,IP
"CAPACITOR|SMT, 10X10.2(G)",IP
"CAPACITOR|SMT, 6.3 X 5.8(D)",IP
"CAPACITOR|SMT, 8 X 6.2(E)",IP
CASE A,IP
Case A,IP
D Pak,IP
D0214AC,CP
D2 PAK,IP
D2pak,IP
D2PAK,IP
D2-PAK,IP
DFN1006-2,402
DFN8,CP
DIP,TH
DO214AA,CP
DO-214AA,CP
DO214AB,IP
DO-214AB,IP
DO-214AB,IP
DO214AC,CP
DO-221AC,CP
DPAK,IP
DPAK,IP
D-PAK,IP
D-SUB,TH
ECG CAPACITOR ELECT,IP
Electrolytic Capacitor,IP
Header straight solder pin,TH
LITE-ON INC  LED SMT LED Blue Clear 466nm,CP
LQFP144,IP
MELF,CP
minimelf,CP
MINIMELF,CP
Minimelf,CP
MiniMELF,CP
MSOP8,CPEXP
PANASONIC-ECG,IP
PC TEST POINT,CP
PCB Terminal Strip,TH
PDSO5,CP
PLCC,IP
POWERDI123,CP
PowerDI-123,CP
PowerDI™ 123,CP
QFN,IP
QFP,IP
Radial,TH
RADIAL,TH
RJ45,TH
RJ-45,TH
SC70,CP
SC-70,CP
SC705,CP
SC70-5,CP
SC70-6,CP
SC74A,CP
SC-74A,CP
SC76-2,CP
SMA,CP
SMB,CP
SMC,IP
SMCJ,IP
"SMT 0ZCH Series PTC resettable, 30V, I Hold=200mA, I Trip=400mA @ 23°C",CP
"SMT, CMOS Clock Oscillator with Enable, 3.3Vdc, 50.000 MHz",CPEXP
SO14,IP
SO-14,IP
SO16,IP
SO-16,IP
SO4,CPEXP
SO6,CPEXP
SO8,CPEXP
SO-8,CPEXP
sod123,CP
SOD123,CP
SOD-123,CP
SOD-123F,CP
SOD123W,CP
SOD-123W,CP
SOD128,CP
SOD-128-2,CP
SOD323,CP
SOD-323,402
SOD-323F,402
SOD523,CP
SOD80,CP
SOD-9223,402
SOD923,402
sod923,402
SOD-923,402
SOIC16,IP
soic8,CPEXP
SOIC8,CPEXP
SOIC-8,CPEXP
SOP4,CPEXP
SOP-4,CPEXP
SOT143B,CP
SOT223,IP
SOT-223,IP
SOT23,CP
sot-23,CP
SOT-23,CP
SOT-23-3,CP
SOT25,CP
SOT-25-5,CP
SOT26,CP
SOT323,402
SOT-323,402
SOT353,CP
SOT363,CP
SOT-363,CP
SOT5,CP
SOT523,CP
SOT-583,402
SOT-7538,CP
SOT-89,CPEXP
SOT9X3,402
SOW16,IP
SOW-16,IP
SOW20,IP
SOW28,IP
SSMINI2,CP
SSOP28,IP
SSOP-28,IP
SSOP5,CP
T/H,TH
TERM BLOCK,TH
TERM BLOCK HDR,TH
TH,TH
"TH,",TH
Through hole,TH
Through Hole,TH
through hole,TH
Thru-Hole,TH
THT,TH
TO-236-3,CP
TO236AB,CP
TO-236AB,CP
TO252,IP
TO252-3,IP
TO263,IP
TO-263,IP
to-268,IP
TO92,TH
TO92-3,TH
TQFP,IP
TQFP144,IP
TSOT-6,CP
TSSOP14,IP
TSSOP-14,CPEXP
TSSOP16,IP
TSSOP-16,IP
TSSOP20,IP
TSSOP24,IP
TSSOP48,IP
TUMD2M,CP
VMN2M,402
WSON8,CP
X1-DFN100,402
TSMT3,CP
PICOSTAR,402
SOT-26,CP
1008,CP
1005,402
SOT-25,CP
TO-277A,CPEXP
8-MSOP,CPEXP
1806,CP
DO-214BA,CP
806,CP
16-TSSOP,IP
